attomid,address_line1,avm_value,assdttlvalue,mktttlvalue,lat,lon
306043361,63 PARKRIDGE DR,0,9090,0,40.842943,-76.845480
306044926,395 SCHOOL HOUSE LN,322400,59170,0,40.842961,-76.910346
306043426,18 ABBY RD,133000,19410,0,40.842976,-76.845644
306044928,313 SCHOOL HOUSE LN,216000,30490,0,40.842979,-76.911668
306043434,76 PARKRIDGE DR,195200,29990,0,40.843008,-76.845125
306044961,335 SCHOOL HOUSE LN,195000,25620,25620,40.843037,-76.911362
306044960,367 SCHOOL HOUSE LN,225000,36100,0,40.843037,-76.911012
306044616,330 MARKETPLACE BLVD,0,1476320,0,40.843101,-76.833421
306045752,2459 ROUTE 204,132000,19670,0,40.843132,-76.878189
306045802,212 HAZELWOOD DR,0,19140,0,40.843221,-76.887159
306044868,97 ROGERS DR,188000,26140,0,40.843227,-76.901746
306044613,388 MARKETPLACE BLVD,0,137940,0,40.843247,-76.833676
306043368,27 VILLA LN,224200,36110,36110,40.843294,-76.850496
306043369,23 VILLA LN,192900,29410,29410,40.843297,-76.850517
306043377,21 VILLA LN,175200,24890,0,40.843299,-76.850528
306043378,19 VILLA LN,172100,24950,0,40.843300,-76.850539
306043376,17 VILLA LN,252100,42250,42250,40.843302,-76.850549
306043375,15 VILLA LN,244100,41620,0,40.843303,-76.850560
306043374,13 VILLA LN,213000,33260,0,40.843305,-76.850571
306043373,11 VILLA LN,204400,31840,0,40.843307,-76.850582
306043372,9 VILLA LN,209000,33210,0,40.843308,-76.850593
306043437,165 BIGGER DR,0,10220,0,40.843308,-76.842091
306043444,165 BIGGER DR,0,5600,0,40.843308,-76.842091
306043371,7 VILLA LN,186900,27410,0,40.843310,-76.850603
306043370,5 VILLA LN,186800,27390,0,40.843311,-76.850614
306043366,3 VILLA LN,162800,22550,0,40.843313,-76.850625
306043367,1 VILLA LN,173100,24950,0,40.843314,-76.850636
306043230,5684 PARK RD,0,23900,0,40.843320,-76.851884
306043208,89 FISHER RD,0,62950,0,40.843363,-76.850832
306043358,307 PINE LN,0,47280,47280,40.843383,-76.839820
306044611,412 MARKETPLACE BLVD,0,136410,0,40.843425,-76.833990
306044901,1127 HERMAN RD,173000,24030,0,40.843471,-76.900676
306045803,223 HAZELWOOD DR,111000,12400,0,40.843489,-76.886994
306045787,847 FETTER RD,0,12770,0,40.843509,-76.896644
306044610,422 MARKETPLACE BLVD,0,132620,0,40.843542,-76.834167
306043431,174 PARKRIDGE DR,0,147380,0,40.843623,-76.844949
306045751,2488 ROUTE 204,162000,23210,0,40.843655,-76.878022
306043209,115 FISHER RD,110000,10770,0,40.843678,-76.850721
306044605,405 MARKETPLACE BLVD,0,941350,0,40.843699,-76.833857
306044869,158 ROGERS DR,274000,33400,0,40.843757,-76.901140
306043364,128 FISHER RD,193800,31210,0,40.843777,-76.850316
306045753,2514 ROUTE 204,195200,17350,0,40.844031,-76.878156
306043363,152 FISHER RD,192400,29890,0,40.844095,-76.850211
306044609,486 MARKETPLACE BLVD,0,987490,0,40.844135,-76.835319
306044607,490 MARKETPLACE BLVD,0,469140,0,40.844138,-76.835413
306044608,494 MARKETPLACE BLVD,0,247060,0,40.844142,-76.835507
306044949,1179 HERMAN RD,189000,25770,0,40.844175,-76.900871
306043407,127 ASH CREEK LN,203000,39530,0,40.844239,-76.832777
306045748,265 DOUBLE DIAMOND HL,0,35500,0,40.844277,-76.887112
306043362,174 FISHER RD,205700,30710,0,40.844366,-76.850118
306045747,2543 ROUTE 204,227000,37910,37910,40.844375,-76.878644
306043350,128 ASH CREEK LN,226000,48340,0,40.844421,-76.833045
306044606,501 MARKETPLACE BLVD,0,1710000,0,40.844426,-76.835779
306045814,2542 ROUTE 204,298200,40430,0,40.844433,-76.878291
306045745,104 HAZELWOOD DR,220000,5040,5040,40.844436,-76.887218
306045798,938 FETTER RD,193000,28040,0,40.844487,-76.893489
306045797,944 FETTER RD,0,13600,13600,40.844586,-76.893307
306045819,2563 ROUTE 204,0,8030,8030,40.844671,-76.878736
306043210,183 FISHER RD,0,9870,9870,40.844671,-76.850388
306043351,63 ASH CREEK LN,203000,40330,0,40.844681,-76.832328
306045785,950 FETTER RD,0,18800,0,40.844686,-76.893126
